      GPH.dstar GPH.dstar.se Sperio.dstar Sperio.dstar.se wfarima.dstar wfarima.dstar.se
1   0.310806670    0.2769058  0.062510244       0.2068925   -0.01664402       0.07908396
2   0.074551092    0.2643782  0.108222725       0.1996096   -0.25474901       0.08287726
3   0.225373997    0.2643513  0.128223112       0.2008555   -0.07176121       0.07922904
4   0.281435647    0.2817752 -0.063523090       0.1986269   -0.50138438       0.08382191
5   0.196874663    0.2879605  0.113416619       0.2036427   -0.19278503       0.08165377
6  -0.075888730    0.2749271 -0.157007365       0.1913645    0.00000000       0.00000000
7  -0.316024867    0.2913674 -0.168498287       0.1957642    0.00000000       0.00000000
8   0.128833383    0.2723968 -0.047663744       0.2034416    0.00000000       0.00000000
9   0.000000000    0.0000000 -0.270168775       0.1855996    0.00000000       0.00000000
10  0.118954874    0.2626936 -0.103489268       0.1946313   -0.39959228       0.08241899
11 -0.132958269    0.2831161  0.013858548       0.2003462    0.00000000       0.00000000
12  0.243054903    0.2786590  0.053976126       0.2057533   -0.27861463       0.07711794
13 -0.002014132    0.2684814 -0.131605476       0.1998801    0.00000000       0.00000000
14 -0.220629767    0.2651586  0.045523147       0.2017168    0.00000000       0.00000000
15 -0.065321453    0.2796765  0.080017699       0.1962513    0.05744013       0.07772862
16  0.453078345    0.2765915  0.146559393       0.2003766    0.00000000       0.00000000
17 -0.045455997    0.2839011  0.074383071       0.2063542    0.00000000       0.00000000
18  0.253853370    0.2794996  0.239428961       0.2016995    0.00000000       0.00000000
19  0.077803108    0.2714679 -0.202698915       0.1900253    0.00000000       0.00000000
20  0.045793687    0.2826933  0.177043091       0.2121526    0.00000000       0.00000000
21  0.169095223    0.2834993  0.073197983       0.2023027   -0.50379847       0.08471468
22 -0.050175110    0.2726250 -0.106249328       0.1981797   -0.42929918       0.08485572
23 -0.255927346    0.2648319 -0.216374835       0.2000397    0.00000000       0.00000000
24 -0.116416840    0.2760204 -0.073476184       0.1912767    0.00000000       0.00000000
25  0.394966726    0.2734726  0.343241185       0.2054125   -0.22848378       0.07635778
26  0.190631972    0.2779691  0.086718143       0.2054194   -0.34381103       0.08111188
27  0.000000000    0.0000000  0.000000000       0.0000000   -0.21235438       0.07979094
28 -0.291102724    0.2774778  0.043649212       0.1941771    0.00000000       0.00000000
29 -0.072779266    0.2601435 -0.250978131       0.1936648    0.00000000       0.00000000
30 -0.328637416    0.2687549 -0.138450556       0.1923111    0.00000000       0.00000000
31 -0.031710147    0.2685714 -0.104761925       0.2026510   -0.44237419       0.08196135
32 -0.004129409    0.2799649  0.061254341       0.2020371   -0.47106040       0.08134280
33 -0.101273395    0.2717409 -0.275990581       0.1903866    0.00000000       0.00000000
34  0.001916244    0.2649845  0.003233422       0.1999747    0.00000000       0.00000000
35  0.051247756    0.2626062  0.166233489       0.2013611    0.00000000       0.00000000
36 -0.318001113    0.2743465 -0.049290041       0.1942003    0.00000000       0.00000000
37 -0.370561888    0.2765262 -0.199076928       0.1899077    0.00000000       0.00000000
38 -0.329209368    0.2819280 -0.081178215       0.2007197    0.00000000       0.00000000
39 -0.110984667    0.2646267 -0.056150073       0.1949798    0.00000000       0.00000000
40 -0.007681474    0.2726964 -0.088897766       0.1905664    0.00000000       0.00000000
41  0.321446977    0.2708863  0.226179719       0.2073062   -0.24142030       0.07851425
42 -0.308890803    0.2895113 -0.304251926       0.1933608   -0.43586004       0.08295905
43 -0.374851905    0.2784718 -0.129409034       0.1956906    0.00000000       0.00000000
44 -0.225357503    0.2817174 -0.336013888       0.1926201    0.00000000       0.00000000
45 -0.029473300    0.2734190 -0.146020163       0.1912984    0.00000000       0.00000000
46 -0.338960681    0.2733104  0.007561616       0.1964088    0.00000000       0.00000000
47  0.241816071    0.2779351  0.211643920       0.1988457   -0.36505461       0.07963231
48  0.000000000    0.0000000  0.369231615       0.2232663    0.36503430       0.08264137
49  0.000000000    0.0000000 -0.347101800       0.1868057    0.00000000       0.00000000
50  0.198465890    0.2764038  0.055123900       0.2042358    0.00000000       0.00000000
51 -0.382476002    0.2767190 -0.227693296       0.1886184    0.00000000       0.00000000
