Date,Year,Median Sales Price,National
1963,1963,18000,19300
1964,1964,18900,20500
1965,1965,20000,21500
1966,1966,21400,23300
1967,1967,22700,24600
1968,1968,24700,26600
1969,1969,25600,27900
1970,1970,23400,26600
1971,1971,25200,28300
1972,1972,27600,30500
1973,1973,32500,35500
1974,1974,35900,38900
1975,1975,39300,42600
1976,1976,44200,48000
1977,1977,48800,54200
1978,1978,55700,62500
1979,1979,62900,71800
1980,1980,64600,76400
1981,1981,68900,83000
1982,1982,69300,83900
1983,1983,75300,89800
1984,1984,79900,97600
1985,1985,84300,100800
1986,1986,92000,111900
1987,1987,104500,127200
1988,1988,112500,138300
1989,1989,120000,148800
1990,1990,122900,149800
1991,1991,120000,147200
1992,1992,121500,144100
1993,1993,126500,147700
1994,1994,130000,154500
1995,1995,133900,158700
1996,1996,140000,166400
1997,1997,146000,176200
1998,1998,152500,181900
1999,1999,161000,195600
2000,2000,169000,207000
2001,2001,175200,213200
2002,2002,187600,228700
2003,2003,195000,246300
2004,2004,221000,274500
2005,2005,240900,297000
2006,2006,246500,305900
2007,2007,247900,313600
2008,2008,230600,291800
,0,,
